Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
241,10,0.5333,24.00,9.000,0.4528,0.000523828,"YOR249C YNL172W YBL084C YGL240W YDR118W YHR166C YKL022C YLR127C YIR025W YFR036W"
242,3,1.000,3.000,8.000,0.1765,0.601873,"YGL242C YMR109W YKL129C"
243,4,0.5000,3.000,13.00,0.1250,0.949204,"YKL104C YDR081C YMR213W YPR101W"
244,4,0.5000,3.000,8.000,0.1579,0.560306,"YNL287W YHR124W YNL272C YPR117W"
245,5,0.8000,8.000,9.000,0.2963,0.108577,"YCR002C YDR168W YDL225W YHR107C YJR076C"
246,5,0.5000,5.000,9.000,0.2083,0.413573,"YKL081W YBR249C YKL056C YPL048W YHR155W"
247,7,0.6190,13.00,9.000,0.3611,0.00699305,"YER129W YDR419W YER027C YDR477W YGL115W YDR422C YGL208W"
248,4,0.5000,3.000,6.000,0.1765,0.434331,"YIL045W YER062C YGL090W YKL069W"
249,2,1.000,1.000,1.000,0.1667,0.308538,"YDR141C YNL297C"
250,4,0.5000,3.000,3.000,0.2143,0.142475,"YJL180C YKL192C YIL098C YNL315C"
251,4,0.5000,3.000,5.000,0.1875,0.267852,"YNR022C YMR193W YEL050C YKR085C"
252,4,0.5000,3.000,5.000,0.1875,0.267852,"YNL307C YJR036C YCL057W YGR012W"
253,5,0.5000,5.000,6.000,0.2381,0.168372,"YJL041W YFR002W YGR119C YGL172W YJL061W"
254,4,0.5000,3.000,6.000,0.1765,0.440842,"YHR131C YER125W YMR275C YOR322C"
255,7,0.6190,13.00,2.000,0.4483,0.000735137,"YOR069W YJL154C YHR012W YJL053W YKL195W YOR132W YPL070W"
256,3,0.6667,2.000,5.000,0.1538,0.500000,"YBR187W YDR412W YPR112C"
257,3,0.6667,2.000,2.000,0.2000,0.150850,"YDR120C YLR309C YHR169W"
258,2,1.000,1.000,5.000,0.1000,0.658454,"YMR123W YLR064W"
259,4,0.5000,3.000,9.000,0.1500,0.673413,"YNL293W YEL001C YGR126W YEL017W"
260,3,0.6667,2.000,5.000,0.1538,0.500000,"YPL217C YOL010W YLR034C"
261,4,0.5000,3.000,18.00,0.1034,0.987210,"YBR054W YOR058C YER116C YDL013W"
262,4,0.5000,3.000,15.00,0.1154,0.992738,"YAL017W YDL100C YNL247W YOR196C"
263,5,0.5000,5.000,6.000,0.2381,0.250422,"YDR091C YDL130W YJL005W YJR067C YNL260C"
264,3,0.6667,2.000,3.000,0.1818,0.406832,"YKR068C YDR407C YBR254C"
265,4,0.5000,3.000,12.00,0.1304,0.956821,"YGR161C YJL098W YPL012W YDL047W"
266,4,0.5000,3.000,7.000,0.1667,0.558429,"YOR048C YJL095W YDR326C YGL161C"
267,4,0.5000,3.000,6.000,0.1765,0.440467,"YDR137W YLR039C YNL044W YIL047C"
268,3,0.6667,2.000,9.000,0.1176,0.917920,"YOR133W YJL062W-A YBR196C"
269,4,0.5000,3.000,3.000,0.2143,0.176448,"YEL060C YNL015W YOR168W YNL019C"
270,7,0.5238,11.00,6.000,0.3548,0.00440136,"YBL097W YLR272C YFR031C YLR086W YHL002W YDR325W YNR006W"
271,5,0.5000,5.000,9.000,0.2083,0.368658,"YCR086W YLR303W YDR409W YGR126W YLL029W"
272,3,0.6667,2.000,8.000,0.1250,0.880704,"YPR093C YNL073W YIL062C"
273,4,0.5000,3.000,6.000,0.1765,0.439297,"YPL144W YMR131C YEL039C YLR021W"
274,4,0.5000,3.000,6.000,0.1765,0.440467,"YDR017C YHR102W YMR196W YOR353C"
275,6,0.5333,8.000,8.000,0.2857,0.0700972,"YKR082W YIL115C YDR424C YDR488C YJL041W YJL061W"
276,11,0.6727,37.00,41.00,0.3700,0.00854175,"YBR119W YGR013W YIL061C YKL012W YML046W YDL087C YDR235W YDR240C YLR298C YHR086W YGL238W"
277,5,0.5000,5.000,4.000,0.2632,0.0625612,"YIL144W YNL054W YMR117C YOL069W YBR028C"
278,4,0.5000,3.000,2.000,0.2308,0.0860169,"YAR071W YBR093C YCR038C YFR055W"
279,4,0.5000,3.000,9.000,0.1500,0.851258,"YER155C YLL021W YER149C YAR014C"
280,4,0.5000,3.000,6.000,0.1765,0.440467,"YCR082W YOR023C YBR066C YKR015C"
281,2,1.000,1.000,5.000,0.1000,0.658454,"YER086W YLR355C"
282,5,0.6000,6.000,22.00,0.1579,0.778403,"YKL155C YGR215W YNR036C YNR037C YMR188C"
283,4,0.5000,3.000,9.000,0.1500,0.851258,"YBL037W YKR026C YHR047C YDL238C"
284,4,0.5000,3.000,7.000,0.1667,0.558429,"YBR212W YIR037W YNL135C YPR166C"
285,6,0.6000,9.000,4.000,0.3600,0.00489254,"YLR408C YKL061W YDR357C YEL005C YGL079W YNL086W"
286,4,0.5000,3.000,10.00,0.1429,0.892262,"YHR204W YLR371W YDL085W YKL093W"
287,6,0.9333,14.00,6.000,0.4375,0.00196281,"YNL153C YLR200W YEL003W YGR078C YML094W YJL179W"
288,4,0.5000,3.000,6.000,0.1765,0.321147,"YOL117W YDR023W YMR277W YKR071C"
289,5,0.6000,6.000,8.000,0.2500,0.136661,"YIL026C YPL155C YFL008W YDL003W YJL074C"
290,4,0.5000,3.000,3.000,0.2143,0.110850,"YCR066W YGL058W YML101C YMR100W"
291,4,0.5000,3.000,5.000,0.1875,0.369441,"YMR113W YBL105C YMR219W YIL143C"
292,3,0.6667,2.000,4.000,0.1667,0.500000,"YDL074C YPL055C YOR365C"
293,4,0.5000,3.000,6.000,0.1765,0.560306,"YDR523C YGL062W YLL005C YHR198C"
294,4,0.5000,3.000,16.00,0.1111,0.949204,"YDR001C YBR001C YDR171W YJR148W"
295,5,0.5000,5.000,25.00,0.1250,0.988407,"YFR030W YER151C YMR173W YOL109W YJL123C"
296,3,0.6667,2.000,5.000,0.1538,0.500000,"YGL099W YBR101C YBR115C"
297,4,0.5000,3.000,8.000,0.1579,0.782161,"YGL122C YBR017C YMR255W YOR046C"
298,4,0.5000,3.000,6.000,0.1765,0.560306,"YGR245C YCL064C YJL008C YJL159W"
299,3,0.6667,2.000,7.000,0.1333,0.880704,"YIR008C YBL035C YNL102W"
300,4,0.5000,3.000,10.00,0.1429,0.918262,"YJR084W YEL001C YDR409W YGR126W"
301,4,0.5000,3.000,7.000,0.1667,0.673413,"YLL027W YJL080C YIL020C YKL040C"
302,4,0.5000,3.000,14.00,0.1200,0.851258,"YHL024W YHR077C YCL032W YGL113W"
303,5,0.5000,5.000,15.00,0.1667,0.881316,"YDR463W YCR002C YDR168W YJR076C YDR101C"
304,2,1.000,1.000,5.000,0.1000,0.933193,"YER095W YML032C"
305,4,0.6667,4.000,4.000,0.2500,0.150261,"YMR140W YDR092W YGL087C YMR323W"
306,8,0.5000,14.00,14.00,0.3182,0.0399760,"YAL016W YDL134C YDL188C YGL190C YML109W YMR273C YPL152W YOR162C"
307,4,0.5000,3.000,5.000,0.1875,0.321147,"YAL047C YHR172W YNL224C YLR212C"
308,3,0.6667,2.000,3.000,0.1818,0.326548,"YLR218C YGL134W YGR033C"
309,4,0.5000,3.000,8.000,0.1579,0.672384,"YIL161W YNL023C YNL135C YPR166C"
310,2,1.000,1.000,5.000,0.1000,0.933193,"YLR221C YOL144W"
311,5,0.5000,5.000,21.00,0.1389,0.876874,"YBR175W YDR314C YPL138C YHR029C YLL023C"
312,5,0.5000,5.000,5.000,0.2500,0.141029,"YJL084C YBL037W YOL062C YJR058C YJR005W"
313,4,0.5000,3.000,4.000,0.2000,0.326587,"YBR088C YJR043C YJR006W YDL102W"
314,4,0.5000,3.000,8.000,0.1579,0.672384,"YKL010C YLR304C YOR233W YMR010W"
315,4,0.5000,3.000,12.00,0.1304,0.950288,"YNR052C YDR212W YEL051W YGR198W"
316,4,0.5000,3.000,8.000,0.1579,0.780580,"YLR380W YMR131C YPL207W YJL070C"
317,4,0.5000,3.000,17.00,0.1071,0.672384,"YMR031C YMR086W YGR130C YGR177C"
318,4,0.5000,3.000,11.00,0.1364,0.907062,"YAL047C YLR179C YJL080C YIL020C"
319,4,0.5000,3.000,8.000,0.1579,0.559533,"YNL067W YNL246W YLL002W YMR020W"
320,8,0.5357,15.00,4.000,0.4286,0.00100880,"YAL033W YBR257W YHR062C YNL221C YIR015W YDR478W YBR167C YNL282W"
321,4,0.5000,3.000,6.000,0.1765,0.560306,"YGR180C YER070W YJL026W YPL191C"
322,4,0.5000,3.000,2.000,0.2308,0.0860169,"YCL029C YDR466W YMR134W YER139C"
323,4,0.5000,3.000,14.00,0.1200,0.559158,"YMR304W YGR097W YDR538W YLR436C"
324,4,0.5000,3.000,7.000,0.1667,0.620792,"YNL085W YDL122W YDR291W YER013W"
325,3,0.6667,2.000,4.000,0.1667,0.326548,"YHL009W-B YLR082C YKL112W"
326,4,0.6667,4.000,5.000,0.2353,0.176448,"YNL021W YDR295C YPR179C YKL134C"
327,5,0.5000,5.000,4.000,0.2632,0.0663111,"YBL038W YGR093W YJL200C YKR006C YML025C"
328,4,0.5000,3.000,14.00,0.1200,0.876469,"YGR285C YFL007W YLR336C YDR006C"
329,3,0.6667,2.000,2.000,0.2000,0.150850,"YER136W YOR089C YOR370C"
330,4,0.5000,3.000,5.000,0.1875,0.382252,"YPR052C YML106W YDR058C YMR271C"
331,5,0.5000,5.000,7.000,0.2273,0.287410,"YCR073W-A YNR034W YLR257W YLR028C YMR120C"
332,4,0.5000,3.000,6.000,0.1765,0.560306,"YLR216C YJL130C YJR109C YHR074W"
333,5,0.9000,9.000,7.000,0.3462,0.0675495,"YOL068C YKR029C YBR103W YCR033W YIL112W"
334,4,0.5000,3.000,8.000,0.1579,0.678853,"YIL108W YNL068C YLR131C YNL254C"
335,4,0.5000,3.000,11.00,0.1364,0.780580,"YHL014C YKR059W YDR502C YOR287C"
336,5,0.5000,5.000,4.000,0.2632,0.0663111,"YBR136W YBL007C YHR114W YOR181W YLR337C"
337,4,0.6667,4.000,5.000,0.2353,0.176448,"YGL133W YOR304W YJL065C YNL230C"
338,3,0.6667,2.000,3.000,0.1818,0.326548,"YGL009C YGR171C YPL028W"
339,4,0.6667,4.000,5.000,0.2353,0.176448,"YOR115C YDR246W YDR407C YDR472W"
340,8,0.5000,14.00,15.00,0.3111,0.0376001,"YDR405W YCR071C YLR439W YMR024W YNL284C YPL173W YDR322W YLR312W-A"
341,5,0.5000,5.000,3.000,0.2778,0.0334776,"YPL002C YCR105W YCR065W YJR102C YLR417W"
342,3,0.6667,2.000,4.000,0.1667,0.500000,"YDR159W YIL034C YDR264C"
343,5,0.5000,5.000,2.000,0.2941,0.0142299,"YPL174C YOL111C YBR137W YOR007C YOR164C"
344,4,0.5000,3.000,4.000,0.2000,0.309920,"YKL069W YGR167W YGL206C YIL096C"
345,3,0.6667,2.000,2.000,0.2000,0.150850,"YBL086C YLR045C YML124C"
346,7,0.5714,12.00,6.000,0.3750,0.00805234,"YGL227W YDR255C YBR105C YCL039W YIL017C YIL097W YMR135C"
347,4,0.5000,3.000,11.00,0.1364,0.814074,"YGL067W YKR037C YGL195W YKL138C-A"
348,3,1.000,3.000,3.000,0.2500,0.0983528,"YJL006C YML112W YKL139W"
349,4,0.5000,3.000,7.000,0.1667,0.624085,"YJL125C YER030W YJR066W YNL062C"
350,4,0.5000,3.000,6.000,0.1765,0.560306,"YKL075C YLR014C YIL156W YNL164C"
351,5,0.5000,5.000,3.000,0.2778,0.0217184,"YPL195W YGR261C YBR288C YJL024C YPL212C"
352,4,0.5000,3.000,16.00,0.1111,0.500000,"YJL115W YPL153C YIL121W YLR403W"
353,5,0.6000,6.000,6.000,0.2727,0.0644425,"YFR015C YJL137C YLR258W YKR058W YGL234W"
354,4,0.6667,4.000,1.000,0.3077,0.0179965,"YML102W YBR195C YPR018W YFL041W"
355,4,0.5000,3.000,3.000,0.2143,0.128420,"YGR173W YAR019C YDR152W YOL061W"
356,4,0.5000,3.000,11.00,0.1364,0.950288,"YGR161C YJL098W YBR169C YPL012W"
357,4,0.5000,3.000,4.000,0.2000,0.214598,"YER071C YIR003W YIL152W YJR092W"
358,4,0.5000,3.000,26.00,0.08108,0.500000,"YPL074W YGL245W YDL103C YHR111W"
359,2,1.000,1.000,3.000,0.1250,0.658454,"YKL160W YLR219W"
360,4,0.5000,3.000,7.000,0.1667,0.803423,"YOL088C YDR519W YHR124W YPR117W"
361,5,0.5000,5.000,8.000,0.2174,0.326797,"YAL021C YCR093W YDR252W YNL288W YPR035W"
362,4,0.5000,3.000,22.00,0.09091,0.955729,"YGL099W YOR056C YMR290C YPL009C"
363,3,0.6667,2.000,3.000,0.1818,0.406832,"YOR127W YOR049C YDR186C"
364,3,0.6667,2.000,2.000,0.2000,0.246781,"YBR082C YDR059C YER068W"
365,3,0.6667,2.000,3.000,0.1818,0.406832,"YNL032W YNL099C YNL056W"
366,4,0.5000,3.000,7.000,0.1667,0.624085,"YBL076C YLR060W YOR355W YFL022C"
367,4,0.5000,3.000,6.000,0.1765,0.560306,"YNL177C YPL195W YGL232W YPL212C"
368,4,0.5000,3.000,11.00,0.1364,0.500000,"YKL108W YGR155W YHR007C YML076C"
369,3,1.000,3.000,1.000,0.3000,0.0296732,"YBL021C YOR358W YGL237C"
370,5,0.5000,5.000,18.00,0.1515,0.948129,"YDR494W YGR215W YNR036C YNR037C YMR188C"
371,5,0.5000,5.000,2.000,0.2941,0.0243162,"YOL146W YDR013W YJL072C YDR489W YPR135W"
372,4,0.5000,3.000,3.000,0.2143,0.128420,"YBL056W YDR071C YBR125C YER089C"
373,4,0.6667,4.000,2.000,0.2857,0.0475402,"YDL100C YDR451C YER083C YGL020C"
374,3,0.6667,2.000,5.000,0.1538,0.749908,"YGR209C YLR039C YIL047C"
375,2,1.000,1.000,5.000,0.1000,0.979387,"YGR116W YPR133C"
376,6,0.6667,10.00,5.000,0.3704,0.00873894,"YBL097W YLR272C YFR031C YLR086W YDR325W YFR025C"
377,4,0.5000,3.000,3.000,0.2143,0.142475,"YKL190W YLR433C YDL054C YOR315W"
378,4,0.5000,3.000,9.000,0.1500,0.732148,"YPL245W YKL204W YOL017W YJL068C"
379,3,0.6667,2.000,3.000,0.1818,0.326548,"YDR169C YER090W YKL211C"
380,4,0.5000,3.000,4.000,0.2000,0.319997,"YJR121W YJL180C YNL315C YBL099W"
381,7,0.5238,11.00,19.00,0.2500,0.272104,"YPL151C YGR278W YPR101W YDR482C YLL036C YLR117C YBR188C"
382,4,0.5000,3.000,8.000,0.1579,0.500000,"YLR223C YMR224C YER179W YBL044W"
383,4,0.5000,3.000,3.000,0.2143,0.128420,"YPR184W YFR017C YHR023W YML078W"
384,2,1.000,1.000,3.000,0.1250,0.658454,"YNR047W YBR235W"
385,3,0.6667,2.000,2.000,0.2000,0.246781,"YLR345W YJL155C YOR219C"
386,3,0.6667,2.000,3.000,0.1818,0.406832,"YMR016C YER013W YBL063W"
387,4,0.5000,3.000,3.000,0.2143,0.128420,"YBR221C YJL131C YNL071W YDL239C"
388,4,0.5000,3.000,2.000,0.2308,0.0846010,"YNL126W YBR151W YKL215C YPL199C"
389,4,0.5000,3.000,9.000,0.1500,0.500000,"YIL069C YBR044C YBL111C YOR328W"
390,4,0.5000,3.000,5.000,0.1875,0.437184,"YGR076C YGR220C YDR332W YJL107C"
391,4,0.5000,3.000,1.000,0.2500,0.0288898,"YDR069C YEL041W YJR001W YOR177C"
392,4,0.5000,3.000,7.000,0.1667,0.558429,"YPL208W YBL087C YDR361C YJR110W"
393,4,0.5000,3.000,4.000,0.2000,0.319997,"YNL009W YOR089C YLR178C YMR257C"
394,3,0.6667,2.000,2.000,0.2000,0.246781,"YER088C YNL091W YOL159C-A"
395,4,0.5000,3.000,2.000,0.2308,0.0668072,"YMR276W YEL025C YNL268W YPR002W"
396,2,1.000,1.000,2.000,0.1429,0.658454,"YDR475C YOR289W"
397,4,0.5000,3.000,6.000,0.1765,0.560306,"YDR515W YPR188C YPR184W YHR023W"
398,4,0.5000,3.000,9.000,0.1500,0.440842,"YHR185C YDR304C YDR248C YHR097C"
399,3,0.6667,2.000,3.000,0.1818,0.406832,"YLR386W YNL325C YOR336W"
400,4,0.5000,3.000,16.00,0.1111,0.440842,"YAL007C YDR086C YGR231C YLR342W"
401,2,1.000,1.000,3.000,0.1250,0.933193,"YML006C YFL054C"
402,3,0.6667,2.000,3.000,0.1818,0.406832,"YNL229C YNL103W YER040W"
403,2,1.000,1.000,2.000,0.1429,0.658454,"YKL047W YGR229C"
404,3,0.6667,2.000,2.000,0.2000,0.150850,"YDR484W YDR027C YJL029C"
405,2,1.000,1.000,3.000,0.1250,0.933193,"YEL012W YLR410W"
406,4,0.5000,3.000,9.000,0.1500,0.440842,"YHL008C YDR304C YDR248C YHR097C"
407,4,0.5000,3.000,8.000,0.1579,0.440467,"YKR011C YLR314C YDR533C YMR322C"
408,4,0.5000,3.000,5.000,0.1875,0.304204,"YML016C YDR436W YKL193C YFR003C"
409,2,1.000,1.000,2.000,0.1429,0.658454,"YDL181W YDL130W-A"
410,4,0.5000,3.000,13.00,0.1250,0.620792,"YOR326W YLR288C YPL040C YGR003W"
411,4,0.5000,3.000,8.000,0.1579,0.440467,"YLR356W YLR314C YDR533C YMR322C"
412,4,0.5000,3.000,13.00,0.1250,0.620792,"YOR326W YMR071C YPL040C YGR003W"
413,4,0.5000,3.000,13.00,0.1250,0.440842,"YOR368W YEL023C YDR454C YKL216W"
414,4,1.000,6.000,0.000,0.4286,0.00656190,"YAL034W-A YIR010W YPL233W YJR112W"
415,2,1.000,1.000,3.000,0.1250,0.933193,"YLR363W-A YBL032W"
416,4,0.5000,3.000,21.00,0.09375,0.952460,"YDL181W YOR097C YOR159C YOR305W"
417,4,0.5000,3.000,22.00,0.09091,0.440842,"YDR385W YER023W YJL046W YGR187C"
418,4,0.5000,3.000,4.000,0.2000,0.214598,"YFR034C YHR008C YNL015W YOR168W"
419,4,0.5000,3.000,12.00,0.1304,0.620792,"YBR072W YDR213W YNL313C YPL226W"
420,2,1.000,1.000,2.000,0.1429,0.658454,"YNL168C YEL013W"
421,3,0.6667,2.000,2.000,0.2000,0.246781,"YDR400W YDL044C YLR139C"
422,4,0.5000,3.000,5.000,0.1875,0.500000,"YKR028W YDL047W YBR214W YLR097C"
423,2,1.000,1.000,2.000,0.1429,0.658454,"YML064C YJR053W"
424,4,0.5000,3.000,6.000,0.1765,0.675529,"YGR048W YHR124W YPR117W YIL156W"
425,6,0.5333,8.000,16.00,0.2222,0.312417,"YGL049C YOL139C YDR049W YKL204W YGR162W YOR276W"
426,2,1.000,1.000,3.000,0.1250,0.933193,"YCR084C YKL213C"
427,2,1.000,1.000,2.000,0.1429,0.658454,"YNR031C YLR006C"
428,5,0.5000,5.000,17.00,0.1563,0.749578,"YNL110C YNR053C YBR148W YER006W YPL093W"
429,4,0.5000,3.000,5.000,0.1875,0.500000,"YKL190W YLR433C YML057W YOR315W"
430,2,1.000,1.000,2.000,0.1429,0.658454,"YJR033C YDR202C"
431,2,1.000,1.000,2.000,0.1429,0.658454,"YHR084W YPL049C"
432,3,1.000,3.000,1.000,0.3000,0.0296732,"YBR152W YGR075C YDL098C"
433,4,0.5000,3.000,6.000,0.1765,0.560306,"YNL247W YDL131W YGL097W YHR079C"
434,3,0.6667,2.000,2.000,0.2000,0.150850,"YOR254C YBR171W YLR292C"
435,2,1.000,1.000,2.000,0.1429,0.658454,"YLR024C YDR051C"
436,4,0.5000,3.000,5.000,0.1875,0.304204,"YIL137C YBR084W YDL130W YGR204W"
437,5,0.5000,5.000,2.000,0.2941,0.0142299,"YCL016C YHR191C YMR078C YPL023C YNL065W"
438,3,0.6667,2.000,1.000,0.2222,0.0786496,"YBR131W YGL124C YML007W"
439,3,1.000,3.000,2.000,0.2727,0.0296732,"YBR225W YGL197W YLR310C"
440,2,1.000,1.000,2.000,0.1429,0.658454,"YNL273W YPR037C"
441,3,0.6667,2.000,2.000,0.2000,0.150850,"YML031W YNL304W YPL177C"
442,4,0.5000,3.000,6.000,0.1765,0.675529,"YNL242W YFR021W YFR040W YHR070W"
443,2,1.000,1.000,2.000,0.1429,0.658454,"YGR043C YLR354C"
444,3,0.6667,2.000,2.000,0.2000,0.150850,"YMR019W YKR078W YDR501W"
445,3,0.6667,2.000,2.000,0.2000,0.150850,"YCR005C YOR323C YLR148W"
446,3,1.000,3.000,2.000,0.2727,0.0296732,"YKR038C YML036W YJL184W"
447,3,0.6667,2.000,2.000,0.2000,0.246781,"YNL047C YPL231W YKL182W"
448,3,0.6667,2.000,1.000,0.2222,0.0786496,"YLR208W YDL195W YDR164C"
449,4,0.5000,3.000,5.000,0.1875,0.500000,"YDL122W YDR291W YER013W YPL089C"
450,2,1.000,1.000,2.000,0.1429,0.658454,"YDR097C YOL090W"
451,3,0.6667,2.000,3.000,0.1818,0.252493,"YDR103W YDR148C YIL125W"
452,4,0.5000,3.000,1.000,0.2500,0.0288898,"YDR233C YPL154C YHR146W YJL146W"
453,4,0.5000,3.000,8.000,0.1579,0.771615,"YNL132W YDR299W YER127W YGR145W"
454,4,0.5000,3.000,1.000,0.2500,0.0235287,"YLL010C YIL135C YOR043W YLR019W"
455,4,0.5000,3.000,2.000,0.2308,0.0860169,"YPR181C YDL099W YDR517W YIL109C"
456,4,0.5000,3.000,5.000,0.1875,0.321147,"YML025C YLR069C YGL068W YKL167C"
457,5,0.6000,6.000,3.000,0.3158,0.0291064,"YIL144W YDL073W YER018C YMR117C YOL069W"
458,3,0.6667,2.000,1.000,0.2222,0.0786496,"YMR012W YJL144W YNL234W"
459,3,0.6667,2.000,2.000,0.2000,0.150850,"YGL050W YIL050W YDR140W"
460,3,0.6667,2.000,1.000,0.2222,0.0786496,"YML029W YLR287C YNL294C"
461,4,0.5000,3.000,2.000,0.2308,0.0431794,"YER174C YGR262C YDR098C YGL220W"
462,3,0.6667,2.000,1.000,0.2222,0.0786496,"YER060W YFL002C YMR097C"
463,4,0.5000,3.000,1.000,0.2500,0.0288898,"YBL061C YGL073W YJL194W YLR419W"
464,4,0.5000,3.000,1.000,0.2500,0.0288898,"YHR146W YMR297W YGL013C YOR137C"
465,4,0.5000,3.000,5.000,0.1875,0.437184,"YGL116W YNL024C YPR047W YOR252W"
466,4,0.5000,3.000,1.000,0.2500,0.0288898,"YKL100C YLR143W YMR170C YMR169C"
467,3,0.6667,2.000,2.000,0.2000,0.150850,"YEL025C YLR452C YNL327W"
468,4,0.5000,3.000,2.000,0.2308,0.0668072,"YML114C YCR042C YMR219W YPR065W"
469,2,1.000,1.000,2.000,0.1429,0.658454,"YCR053W YML126C"
470,3,0.6667,2.000,1.000,0.2222,0.0786496,"YHR182W YNL037C YOR136W"
471,4,0.5000,3.000,0.000,0.2727,0.00885303,"YJL087C YPL141C YJR004C YJR124C"
472,2,1.000,1.000,1.000,0.1667,0.308538,"YGR170W YNL264C"
473,2,1.000,1.000,1.000,0.1667,0.308538,"YNL238W YOL031C"
474,2,1.000,1.000,2.000,0.1429,1.00000,"YPL169C YJR042W"
475,2,1.000,1.000,3.000,0.1250,0.933193,"YPL227C YPL085W"
476,4,0.5000,3.000,15.00,0.1154,0.267852,"YAL007C YDR086C YGL055W YGR231C"
477,2,1.000,1.000,1.000,0.1667,0.308538,"YJR052W YPL046C"
478,2,1.000,1.000,1.000,0.1667,0.308538,"YAL024C YPR140W"
479,2,1.000,1.000,3.000,0.1250,0.933193,"YDR499W YJR096W"
480,2,1.000,1.000,3.000,0.1250,0.933193,"YPL249C YMR192W"
481,4,0.5000,3.000,15.00,0.1154,0.267852,"YLL022C YJL102W YGL229C YMR233W"
482,2,1.000,1.000,1.000,0.1667,0.308538,"YBR030W YLR244C"
483,4,0.5000,3.000,14.00,0.1200,0.267852,"YER016W YER177W YGL181W YOR220W"
484,3,0.6667,2.000,1.000,0.2222,0.0786496,"YHR073W YBL045C YPR191W"
485,2,1.000,1.000,1.000,0.1667,0.308538,"YNL292W YHR011W"
486,2,1.000,1.000,2.000,0.1429,1.00000,"YPL180W YLR454W"
487,2,1.000,1.000,2.000,0.1429,1.00000,"YNL078W YOL070C"
488,2,1.000,1.000,1.000,0.1667,0.308538,"YBL103C YOL067C"
489,4,0.5000,3.000,6.000,0.1765,0.267852,"YDR254W YNR013C YJL105W YNR062C"
490,2,1.000,1.000,2.000,0.1429,1.00000,"YOR148C YNL286W"
491,4,0.5000,3.000,22.00,0.09091,0.950288,"YAL062W YAR071W YOR362C YLR256W"
492,2,1.000,1.000,1.000,0.1667,0.308538,"YBL047C YCR030C"
493,4,0.5000,3.000,9.000,0.1500,0.267852,"YBL058W YLR377C YPL133C YJR098C"
494,4,0.5000,3.000,9.000,0.1500,0.267852,"YBL058W YPL133C YJR098C YOR342C"
495,4,0.5000,3.000,6.000,0.1765,0.433816,"YOL087C YBL067C YER030W YER098W"
496,2,1.000,1.000,1.000,0.1667,0.308538,"YHR156C YOR238W"
497,19,0.5088,87.00,111.0,0.3686,0.00419028,"YER029C YGR074W YKL012W YLR147C YLR275W YFL017W-A YBL074C YOR159C YKL173W YER172C YDR473C YHR165C YPR182W YNL092W YGR091W YOR308C YNR011C YDL085C-A YBR055C"
498,3,0.6667,2.000,1.000,0.2222,0.0786496,"YPR007C YCR095C YHL029C"
499,2,1.000,1.000,1.000,0.1667,0.308538,"YOR349W YER007W"
500,4,0.5000,3.000,15.00,0.1154,0.267852,"YLL022C YGL229C YJR154W YMR233W"
501,3,0.6667,2.000,1.000,0.2222,0.0786496,"YIR035C YBR248C YLR401C"
502,2,1.000,1.000,1.000,0.1667,0.308538,"YBR057C YLL040C"
503,2,1.000,1.000,1.000,0.1667,0.308538,"YBR034C YEL016C"
504,3,0.6667,2.000,1.000,0.2222,0.0786496,"YNL251C YPL190C YFL021W"
505,4,0.5000,3.000,4.000,0.2000,0.217839,"YLR423C YJR156C YBR197C YDR022C"
506,4,0.5000,3.000,10.00,0.1429,0.267852,"YHR039C-A YGL215W YKL082C YMR264W"
507,2,1.000,1.000,1.000,0.1667,0.308538,"YKR098C YGL180W"
508,3,0.6667,2.000,3.000,0.1818,0.406832,"YNL267W YHR102W YOR353C"
509,4,0.5000,3.000,3.000,0.2143,0.176448,"YKL092C YDL056W YLR182W YKR077W"
510,7,0.5238,11.00,15.00,0.2750,0.0904620,"YBR234C YJR065C YDL029W YNR035C YLR370C YKL013C YOR269W"
511,2,1.000,1.000,1.000,0.1667,0.308538,"YDR346C YPL111W"
512,2,1.000,1.000,1.000,0.1667,0.308538,"YKL143W YPL239W"
513,4,0.5000,3.000,3.000,0.2143,0.142475,"YNL242W YFR021W YHR024C YLR163C"
514,3,0.6667,2.000,0.000,0.2500,0.0296732,"YBR268W YDL202W YNL185C"
515,4,0.5000,3.000,2.000,0.2308,0.0431794,"YCL017C YER048W-A YKL192C YIL098C"
516,3,1.000,3.000,0.000,0.3333,0.0234271,"YCR020C-A YEL053C YPR051W"
517,2,1.000,1.000,1.000,0.1667,0.308538,"YCR032W YOL057W"
518,2,1.000,1.000,1.000,0.1667,0.308538,"YLR035C YMR167W"
519,2,1.000,1.000,2.000,0.1429,1.00000,"YKL128C YMR089C"
520,2,1.000,1.000,1.000,0.1667,0.308538,"YKL157W YDL241W"
521,2,1.000,1.000,1.000,0.1667,0.308538,"YLR181C YDR486C"
522,4,0.5000,3.000,27.00,0.07895,0.267852,"YDL097C YPL082C YBL017C YKL027W"
523,5,0.5000,5.000,3.000,0.2778,0.0413311,"YDL056W YLR182W YER111C YKR077W YOR083W"
524,2,1.000,1.000,1.000,0.1667,0.308538,"YML059C YLR375W"
525,4,0.5000,3.000,9.000,0.1500,0.267852,"YMR049C YOR272W YHL007C YLL008W"
526,4,0.5000,3.000,3.000,0.2143,0.176448,"YHR138C YIL094C YKR003W YPR061C"
